Date,Region,Android,iOS,Other
2015-06,Africa,57.66,4.74,37.6
2015-06,Asia,67.65,11.45,20.899999999999995
2015-06,Europe,63.81,28.41,7.779999999999998
2015-06,North America,50.93,45.58,3.490000000000002
2015-06,Oceania,42.45,54.58,2.969999999999999
2015-06,South America,78.19,10.91,10.900000000000002
2015-06,Worldwide,63.75,20.22,16.03
2015-07,Africa,57.78,4.74,37.48
2015-07,Asia,68.48,11.97,19.549999999999997
2015-07,Europe,63.66,28.41,7.930000000000003
2015-07,North America,49.75,46.69,3.5600000000000023
2015-07,Oceania,41.04,55.84,3.1199999999999974
2015-07,South America,76.68,12.27,11.049999999999994
2015-07,Worldwide,64.08,20.41,15.510000000000002
2015-08,Africa,64.25,3.18,32.57
2015-08,Asia,69.8,11.51,18.690000000000005
2015-08,Europe,63.23,28.54,8.230000000000004
2015-08,North America,49.57,46.88,3.549999999999997
2015-08,Oceania,41.13,55.56,3.309999999999995
2015-08,South America,77.84,11.09,11.069999999999997
2015-08,Worldwide,65.56,19.03,15.409999999999997
2015-09,Africa,69.09,2.82,28.089999999999996
2015-09,Asia,70.55,11.18,18.270000000000003
2015-09,Europe,64.06,27.85,8.089999999999996
2015-09,North America,50.56,45.86,3.5799999999999983
2015-09,Oceania,41.89,54.34,3.769999999999996
2015-09,South America,78.63,10.66,10.710000000000004
2015-09,Worldwide,66.77,18.14,15.090000000000003
2015-10,Africa,67.89,2.76,29.35
2015-10,Asia,70.92,10.96,18.119999999999997
2015-10,Europe,64.69,27.31,8.000000000000004
2015-10,North America,50.88,45.24,3.8799999999999955
2015-10,Oceania,42.79,53.47,3.740000000000002
2015-10,South America,78.66,10.32,11.020000000000003
2015-10,Worldwide,67.15,17.7,15.149999999999995
2015-11,Africa,66.72,3.31,29.970000000000002
2015-11,Asia,69.72,11.46,18.82
2015-11,Europe,64.01,28.46,7.529999999999994
2015-11,North America,50.15,46.49,3.3599999999999994
2015-11,Oceania,41.1,55.39,3.509999999999998
2015-11,South America,78.56,10.8,10.639999999999997
2015-11,Worldwide,65.73,19.3,14.969999999999995
2015-12,Africa,68.42,3.31,28.27
2015-12,Asia,70.17,10.91,18.919999999999998
2015-12,Europe,64.6,27.74,7.660000000000007
2015-12,North America,49.62,47.02,3.3599999999999994
2015-12,Oceania,41.49,54.73,3.780000000000001
2015-12,South America,78.24,10.46,11.300000000000004
2015-12,Worldwide,65.9,19.21,14.889999999999993
2016-01,Africa,69.12,3.29,27.589999999999996
2016-01,Asia,70.71,11.01,18.28000000000001
2016-01,Europe,64.76,28.26,6.979999999999993
2016-01,North America,49.44,47.72,2.8400000000000034
2016-01,Oceania,41.25,55.2,3.549999999999997
2016-01,South America,79.59,10.23,10.179999999999996
2016-01,Worldwide,66.28,19.58,14.14
2016-02,Africa,69.13,3.42,27.450000000000003
2016-02,Asia,71.05,10.86,18.090000000000003
2016-02,Europe,65.18,27.8,7.0199999999999925
2016-02,North America,48.47,48.71,2.8200000000000003
2016-02,Oceania,40.92,55.57,3.509999999999998
2016-02,South America,78.81,9.99,11.199999999999998
2016-02,Worldwide,66.38,19.47,14.150000000000006
2016-03,Africa,70.64,3.17,26.189999999999998
2016-03,Asia,72.61,10.99,16.4
2016-03,Europe,66.5,26.86,6.640000000000001
2016-03,North America,49.79,47.39,2.8200000000000003
2016-03,Oceania,41.92,54.77,3.309999999999995
2016-03,South America,79.77,9.93,10.300000000000004
2016-03,Worldwide,68.04,18.82,13.139999999999993
2016-04,Africa,70.13,3.13,26.740000000000006
2016-04,Asia,72.85,11.19,15.960000000000006
2016-04,Europe,66.84,26.55,6.609999999999996
2016-04,North America,50.09,46.84,3.069999999999993
2016-04,Oceania,42.95,53.42,3.6299999999999955
2016-04,South America,80.64,9.86,9.5
2016-04,Worldwide,68.28,18.8,12.919999999999998
2016-05,Africa,72.26,3.08,24.659999999999997
2016-05,Asia,73.22,11.3,15.48
2016-05,Europe,66.74,26.84,6.420000000000005
2016-05,North America,50.04,46.91,3.0500000000000043
2016-05,Oceania,41.24,55.22,3.539999999999999
2016-05,South America,80.95,10.42,8.629999999999997
2016-05,Worldwide,68.84,18.63,12.529999999999998
2016-06,Africa,74.1,3.46,22.440000000000005
2016-06,Asia,72.98,12.66,14.359999999999996
2016-06,Europe,66.89,27.36,5.75
2016-06,North America,49.61,47.66,2.730000000000004
2016-06,Oceania,40.79,56.34,2.8699999999999974
2016-06,South America,81.45,9.71,8.839999999999996
2016-06,Worldwide,68.39,20.33,11.280000000000001
2016-07,Africa,74.61,3.2,22.19
2016-07,Asia,72.78,12.61,14.61
2016-07,Europe,67.66,26.87,5.470000000000002
2016-07,North America,51.0,46.54,2.460000000000001
2016-07,Oceania,42.11,54.98,2.9100000000000037
2016-07,South America,82.39,9.51,8.1
2016-07,Worldwide,68.79,19.89,11.319999999999993
2016-08,Africa,74.87,3.37,21.759999999999994
2016-08,Asia,72.05,13.06,14.890000000000002
2016-08,Europe,68.44,26.38,5.180000000000003
2016-08,North America,50.34,47.26,2.3999999999999986
2016-08,Oceania,42.44,54.76,2.8000000000000043
2016-08,South America,83.56,8.96,7.479999999999997
2016-08,Worldwide,68.54,20.07,11.389999999999993
2016-09,Africa,74.24,3.34,22.420000000000005
2016-09,Asia,73.45,12.62,13.929999999999998
2016-09,Europe,69.01,26.17,4.819999999999993
2016-09,North America,52.09,45.05,2.8599999999999994
2016-09,Oceania,42.96,54.31,2.729999999999997
2016-09,South America,84.05,8.72,7.230000000000002
2016-09,Worldwide,69.68,19.38,10.939999999999994
2016-10,Africa,74.88,3.67,21.450000000000003
2016-10,Asia,75.42,12.21,12.369999999999997
2016-10,Europe,68.54,26.86,4.599999999999994
2016-10,North America,50.0,47.57,2.4299999999999997
2016-10,Oceania,42.95,53.87,3.1799999999999997
2016-10,South America,85.1,8.3,6.600000000000005
2016-10,Worldwide,70.84,19.12,10.039999999999996
2016-11,Africa,76.51,3.68,19.809999999999995
2016-11,Asia,76.77,11.86,11.370000000000005
2016-11,Europe,68.9,26.93,4.169999999999995
2016-11,North America,51.53,46.36,2.1099999999999994
2016-11,Oceania,43.26,53.6,3.1400000000000006
2016-11,South America,85.92,8.09,5.989999999999998
2016-11,Worldwide,72.01,18.85,9.139999999999993
2016-12,Africa,77.25,3.49,19.259999999999998
2016-12,Asia,76.72,11.8,11.48
2016-12,Europe,68.64,27.35,4.009999999999998
2016-12,North America,51.44,46.75,1.8100000000000023
2016-12,Oceania,43.59,52.73,3.6799999999999997
2016-12,South America,84.78,9.63,5.589999999999998
2016-12,Worldwide,71.97,18.89,9.14
2017-01,Africa,73.4,4.77,21.829999999999995
2017-01,Asia,77.1,11.84,11.060000000000006
2017-01,Europe,67.45,29.0,3.549999999999997
2017-01,North America,50.2,48.04,1.759999999999998
2017-01,Oceania,43.33,53.06,3.6099999999999994
2017-01,South America,85.02,9.4,5.580000000000004
2017-01,Worldwide,71.58,19.73,8.690000000000001
2017-02,Africa,74.91,4.34,20.750000000000004
2017-02,Asia,77.6,11.63,10.770000000000005
2017-02,Europe,67.75,28.76,3.4899999999999984
2017-02,North America,49.88,48.43,1.6899999999999977
2017-02,Oceania,42.7,54.29,3.009999999999998
2017-02,South America,85.33,8.67,6.000000000000002
2017-02,Worldwide,71.98,19.45,8.569999999999997
2017-03,Africa,70.69,5.37,23.94
2017-03,Asia,77.23,11.57,11.199999999999996
2017-03,Europe,67.81,28.87,3.3199999999999967
2017-03,North America,49.91,48.53,1.5600000000000023
2017-03,Oceania,41.17,53.61,5.219999999999999
2017-03,South America,85.56,8.76,5.679999999999998
2017-03,Worldwide,71.61,19.5,8.89
2017-04,Africa,70.84,5.39,23.769999999999996
2017-04,Asia,76.91,12.92,10.170000000000003
2017-04,Europe,68.59,28.25,3.1599999999999966
2017-04,North America,49.91,48.52,1.5700000000000003
2017-04,Oceania,41.22,53.21,5.57
2017-04,South America,85.68,8.91,5.409999999999993
2017-04,Worldwide,71.84,19.87,8.289999999999996
2017-05,Africa,72.77,5.61,21.620000000000005
2017-05,Asia,78.17,11.97,9.859999999999998
2017-05,Europe,68.31,28.62,3.0699999999999967
2017-05,North America,50.19,48.23,1.5800000000000054
2017-05,Oceania,40.85,52.23,6.920000000000002
2017-05,South America,85.57,9.09,5.340000000000007
2017-05,Worldwide,72.68,19.32,7.999999999999993
2017-06,Africa,74.23,6.59,19.179999999999996
2017-06,Asia,78.57,11.54,9.890000000000008
2017-06,Europe,69.47,27.44,3.09
2017-06,North America,50.56,48.11,1.3299999999999983
2017-06,Oceania,43.81,52.12,4.07
2017-06,South America,86.19,8.8,5.010000000000002
2017-06,Worldwide,72.89,19.35,7.759999999999998
2017-07,Africa,72.85,5.87,21.280000000000005
2017-07,Asia,78.98,11.17,9.849999999999996
2017-07,Europe,70.88,26.01,3.110000000000003
2017-07,North America,51.29,47.39,1.3200000000000003
2017-07,Oceania,44.66,51.17,4.170000000000002
2017-07,South America,86.26,8.96,4.779999999999994
2017-07,Worldwide,73.39,18.78,7.829999999999998
2017-08,Africa,73.54,5.67,20.789999999999992
2017-08,Asia,79.16,12.01,8.830000000000004
2017-08,Europe,69.95,27.17,2.8799999999999955
2017-08,North America,49.98,48.86,1.1600000000000037
2017-08,Oceania,44.39,52.2,3.4099999999999966
2017-08,South America,86.87,8.44,4.689999999999996
2017-08,Worldwide,72.74,20.32,6.940000000000005
2017-09,Africa,73.43,4.87,21.699999999999992
2017-09,Asia,79.24,11.77,8.990000000000006
2017-09,Europe,70.06,27.18,2.759999999999998
2017-09,North America,52.07,46.72,1.2100000000000009
2017-09,Oceania,43.55,51.53,4.920000000000002
2017-09,South America,87.73,7.93,4.339999999999996
2017-09,Worldwide,73.52,19.37,7.110000000000003
2017-10,Africa,72.96,5.05,21.990000000000006
2017-10,Asia,79.39,11.53,9.08
2017-10,Europe,69.32,28.24,2.4400000000000084
2017-10,North America,50.37,48.57,1.0600000000000023
2017-10,Oceania,43.54,53.25,3.210000000000001
2017-10,South America,87.12,8.5,4.3799999999999955
2017-10,Worldwide,73.05,19.99,6.960000000000004
2017-11,Africa,72.07,5.4,22.53000000000001
2017-11,Asia,80.34,11.16,8.499999999999996
2017-11,Europe,68.89,28.78,2.3299999999999983
2017-11,North America,48.58,50.53,0.8900000000000006
2017-11,Oceania,43.27,54.52,2.2099999999999937
2017-11,South America,86.74,9.03,4.230000000000006
2017-11,Worldwide,73.11,20.34,6.550000000000001
2017-12,Africa,73.24,5.49,21.270000000000003
2017-12,Asia,80.78,10.62,8.6
2017-12,Europe,68.44,29.27,2.2900000000000027
2017-12,North America,49.29,49.89,0.8200000000000003
2017-12,Oceania,44.63,53.11,2.259999999999998
2017-12,South America,86.83,9.07,4.100000000000001
2017-12,Worldwide,73.54,19.91,6.549999999999994
2018-01,Africa,74.77,6.06,19.170000000000005
2018-01,Asia,81.27,10.82,7.910000000000004
2018-01,Europe,69.1,28.78,2.1200000000000045
2018-01,North America,50.39,48.76,0.8500000000000014
2018-01,Oceania,45.01,53.19,1.8000000000000043
2018-01,South America,87.45,8.97,3.5799999999999965
2018-01,Worldwide,74.39,19.64,5.969999999999999
2018-02,Africa,75.5,6.61,17.89
2018-02,Asia,82.36,11.14,6.5
2018-02,Europe,69.35,28.65,2.000000000000007
2018-02,North America,50.0,49.23,0.7700000000000031
2018-02,Oceania,45.45,52.76,1.7899999999999991
2018-02,South America,87.33,9.22,3.450000000000001
2018-02,Worldwide,74.78,20.15,5.07
2018-03,Africa,76.63,6.19,17.180000000000003
2018-03,Asia,82.43,11.09,6.479999999999993
2018-03,Europe,69.77,28.38,1.850000000000005
2018-03,North America,48.67,50.58,0.75
2018-03,Oceania,45.0,53.04,1.9600000000000009
2018-03,South America,87.28,9.51,3.209999999999999
2018-03,Worldwide,74.24,20.83,4.930000000000007
2018-04,Africa,76.81,6.2,16.99
2018-04,Asia,82.89,10.59,6.52
2018-04,Europe,71.46,26.55,1.9900000000000055
2018-04,North America,50.91,48.27,0.8200000000000003
2018-04,Oceania,46.79,51.27,1.9399999999999977
2018-04,South America,87.28,9.54,3.1799999999999997
2018-04,Worldwide,75.66,19.23,5.110000000000003
2018-05,Africa,78.44,6.68,14.880000000000003
2018-05,Asia,83.89,10.32,5.789999999999999
2018-05,Europe,72.44,25.73,1.8300000000000018
2018-05,North America,50.76,48.54,0.7000000000000028
2018-05,Oceania,47.13,50.97,1.8999999999999986
2018-05,South America,87.14,9.91,2.9499999999999993
2018-05,Worldwide,76.53,18.97,4.5
2018-06,Africa,80.74,6.77,12.490000000000006
2018-06,Asia,83.99,10.79,5.220000000000006
2018-06,Europe,74.07,24.06,1.870000000000008
2018-06,North America,51.34,48.0,0.6599999999999966
2018-06,Oceania,48.34,49.82,1.8399999999999963
2018-06,South America,87.16,9.71,3.1300000000000026
2018-06,Worldwide,76.99,18.91,4.100000000000005
2018-07,Africa,80.73,7.35,11.919999999999996
2018-07,Asia,84.8,11.19,4.010000000000003
2018-07,Europe,74.2,24.15,1.6499999999999986
2018-07,North America,52.02,47.39,0.5899999999999963
2018-07,Oceania,47.17,51.31,1.519999999999996
2018-07,South America,87.12,9.98,2.899999999999995
2018-07,Worldwide,77.32,19.4,3.2800000000000082
2018-08,Africa,80.41,7.34,12.250000000000004
2018-08,Asia,83.84,13.14,3.019999999999996
2018-08,Europe,73.67,24.81,1.5199999999999996
2018-08,North America,50.87,48.58,0.5500000000000043
2018-08,Oceania,43.59,55.49,0.9199999999999946
2018-08,South America,87.5,9.65,2.8499999999999996
2018-08,Worldwide,76.82,20.45,2.7300000000000075
2018-09,Africa,82.22,7.73,10.05
2018-09,Asia,84.12,12.51,3.3699999999999957
2018-09,Europe,73.54,25.08,1.3799999999999955
2018-09,North America,50.42,49.1,0.4799999999999969
2018-09,Oceania,44.32,54.97,0.7100000000000009
2018-09,South America,87.38,9.81,2.810000000000004
2018-09,Worldwide,76.61,20.66,2.7300000000000004
2018-10,Africa,82.47,8.48,9.05
2018-10,Asia,83.24,12.79,3.970000000000006
2018-10,Europe,69.85,28.81,1.340000000000007
2018-10,North America,48.46,51.07,0.46999999999999886
2018-10,Oceania,40.74,58.67,0.5899999999999963
2018-10,South America,86.31,11.0,2.6899999999999977
2018-10,Worldwide,74.69,22.34,2.9700000000000024
2018-11,Africa,80.64,9.83,9.53
2018-11,Asia,82.73,13.1,4.169999999999996
2018-11,Europe,64.57,33.84,1.5900000000000034
2018-11,North America,42.63,56.83,0.5399999999999991
